Date : 2021-06-18 15:46:35
Directory : c:\Users\Vlad\Desktop\Segregare\frontend_update\src
Total : 77 files,  3653 codes, 92 comments, 977 blanks, all 4722 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\info-unitate-modal\info-unitate-modal.component.ts     | TypeScript |        123 |          0 |         31 |        154 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.css        | CSS        |         48 |          0 |         10 |         58 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.html       | HTML       |         69 |          0 |         15 |         84 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizare-modal\organizare-modal.component.ts         | TypeScript |         71 |          0 |         31 |        102 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.css      | CSS        |         48 |          0 |         10 |         58 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.html     | HTML       |         76 |          0 |         16 |         92 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizareb-modal\organizareb-modal.component.ts       | TypeScript |         72 |          0 |         26 |         98 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.css      | CSS        |         48 |          0 |          9 |         57 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.html     | HTML       |         97 |          0 |         17 |        114 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizarec-modal\organizarec-modal.component.ts       | TypeScript |         73 |          0 |         23 |         96 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.css      | CSS        |         48 |          0 |          9 |         57 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.html     | HTML       |         66 |          0 |         16 |         82 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\organizared-modal\organizared-modal.component.ts       | TypeScript |         72 |          0 |         28 |        100 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.css                      | CSS        |         12 |          0 |          3 |         15 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.html                     | HTML       |         74 |          0 |         16 |         90 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\pdf-modal\pdf-modal.component.ts                       | TypeScript |        128 |          0 |         52 |        180 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.css                                  | CSS        |         80 |          0 |         16 |         96 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.html                                 | HTML       |         81 |          0 |         15 |         96 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.ts                                   | TypeScript |        132 |          0 |         36 |        168 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\environments\environment.prod.ts                                   | TypeScript |          3 |          0 |          1 |          4 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\environments\environment.ts                                        | TypeScript |          3 |         11 |          3 |         17 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\index.html                                                         | HTML       |         21 |          0 |          6 |         27 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\karma.conf.js                                                      | JavaScript |         28 |          2 |          1 |         31 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\main.ts                                                            | TypeScript |         10 |          0 |          4 |         14 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\polyfills.ts                                                       | TypeScript |          1 |         55 |          8 |         64 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\styles.css                                                         | CSS        |         14 |          2 |          6 |         22 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\test.ts                                                            | TypeScript |         13 |          4 |          4 |         21 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tsconfig.app.json                                                  | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tsconfig.spec.json                                                 | JSON       |         18 |          0 |          1 |         19 |
| c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tslint.json                                                        | JSON       |         17 |          0 |          1 |         18 |
| Total                                                                                                                  |            |      3,653 |         92 |        977 |      4,722 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
